DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2022-06-21,Europe,Champions League,CUP,2022/2023,La Fiorita,Inter Club d'Escaldes,A,1,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,15,6,9,SNV,5,SNV,2,0,16,8,8,SNV,2,SNV,2,0
2022-06-21,Europe,Champions League,CUP,2022/2023,Levadia,Víkingur Reykjavík,A,1,6,A,1,3,N/A,N/A,N/A,N/A,N/A,N/A,9,2,7,SNV,5,SNV,4,0,12,8,4,SNV,4,SNV,2,0
2022-06-24,Europe,Champions League,CUP,2022/2023,Inter Club d'Escaldes,Víkingur Reykjavík,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,1,9,0,2,0,5,0,10,3,7,0,2,0,2,0
2022-07-05,Europe,Champions League,CUP,2022/2023,KF Ballkani,Žalgiris,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,16,9,7,0,5,0,3,0,5,2,3,0,3,0,2,0
2022-07-05,Europe,Champions League,CUP,2022/2023,Shkupi,Lincoln Red Imps,H,3,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,17,8,9,0,4,12,1,0,9,5,4,0,6,7,0,0
2022-07-05,Europe,Champions League,CUP,2022/2023,Ludogorets,Sutjeska,H,2,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,2,2,0,0,6,0,1,0,0,0,0,0,2,0,1,0
2022-07-05,Europe,Champions League,CUP,2022/2023,Pyunik,CFR Cluj,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,3,1,2,0,5,0,3,0,14,5,9,0,11,0,1,0
2022-07-05,Europe,Champions League,CUP,2022/2023,Shamrock Rovers,Hibernians,H,3,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,12,5,7,0,6,0,0,0,6,2,4,0,1,0,1,0
2022-07-05,Europe,Champions League,CUP,2022/2023,Lech Poznań,Qarabağ,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,5,3,2,0,2,0,0,0,6,3,3,0,6,0,1,0
2022-07-05,Europe,Champions League,CUP,2022/2023,Malmö FF,Víkingur Reykjavík,H,3,2,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,22,11,11,0,2,0,3,0,6,4,2,0,1,0,4,0
2022-07-05,Europe,Champions League,CUP,2022/2023,The New Saints,Linfield,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,1,9,0,5,0,2,0,10,4,6,0,5,0,3,0
2022-07-06,Europe,Champions League,CUP,2022/2023,Tobol,Ferencváros,D,0,0,,,,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,4,0,2,0,0,0,0,0,7,0,3,0
2022-07-06,Europe,Champions League,CUP,2022/2023,Bodø / Glimt,KÍ,H,3,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,11,0,0,0,0,0,0,0,4,0,1,0
2022-07-06,Europe,Champions League,CUP,2022/2023,Maribor,Shakhtyor,D,0,0,,,,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,7,0,2,0,0,0,0,0,5,0,1,0
2022-07-06,Europe,Champions League,CUP,2022/2023,HJK,Rīgas FS,H,1,0,,,,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,5,0,2,0,0,0,0,0,3,0,3,0
2022-07-06,Europe,Champions League,CUP,2022/2023,Zrinjski,Sheriff,D,0,0,,,,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,3,0,4,0,0,0,0,0,3,0,4,0
2022-07-06,Europe,Champions League,CUP,2022/2023,F91 Dudelange,Tirana,H,1,0,,,,N/A,N/A,N/A,N/A,N/A,N/A,8,4,4,0,5,15,1,0,5,1,2,0,3,11,2,0
2022-07-06,Europe,Champions League,CUP,2022/2023,Slovan Bratislava,Dinamo Batumi,D,0,0,,,,N/A,N/A,N/A,N/A,N/A,N/A,13,5,7,0,4,17,2,0,12,5,5,0,1,10,5,0
2022-07-12,Europe,Champions League,CUP,2022/2023,Hibernians,Shamrock Rovers,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,1,0,5,0,0,0,0,0,0,0,2,0
2022-07-12,Europe,Champions League,CUP,2022/2023,Víkingur Reykjavík,Malmö FF,D,3,3,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,6,0,1,0,0,0,0,0,3,0,4,0
2022-07-12,Europe,Champions League,CUP,2022/2023,Sheriff,Zrinjski,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,4,0,2,0,0,0,0,0,3,0,2,0
2022-07-12,Europe,Champions League,CUP,2022/2023,Qarabağ,Lech Poznań,H,5,1,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,19,9,3,55,7,18,4,0,3,2,1,45,3,12,1,0
2022-07-12,Europe,Champions League,CUP,2022/2023,Sutjeska,Ludogorets,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,1,0,2,0,0,0,0,0,8,0,3,0
