DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2022-08-05,France,Ligue 1,LEAGUE,2022/2023,Olympique Lyonnais,Ajaccio,H,2,1,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,10,4,6,68,4,10,1,1,8,4,4,32,3,18,6,1
2022-08-06,France,Ligue 1,LEAGUE,2022/2023,Strasbourg,Monaco,A,1,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,13,8,5,53,3,17,0,0,28,14,14,47,7,15,2,0
2022-08-06,France,Ligue 1,LEAGUE,2022/2023,Clermont,Paris Saint Germain,A,0,5,A,0,3,N/A,N/A,N/A,N/A,N/A,N/A,8,1,7,39,0,13,2,0,20,12,8,61,6,13,1,0
2022-08-07,France,Ligue 1,LEAGUE,2022/2023,Lille,Auxerre,H,4,1,H,3,0,N/A,N/A,N/A,N/A,N/A,N/A,15,6,9,60,7,10,2,0,11,2,9,40,2,9,1,0
2022-08-07,France,Ligue 1,LEAGUE,2022/2023,Toulouse,Nice,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,6,2,4,46,6,10,1,0,13,5,8,54,3,8,2,0
2022-08-07,France,Ligue 1,LEAGUE,2022/2023,Rennes,Lorient,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,18,3,15,64,7,11,3,0,7,3,4,36,2,5,1,0
2022-08-07,France,Ligue 1,LEAGUE,2022/2023,Angers SCO,Nantes,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,16,7,9,49,3,15,3,0,13,4,9,51,6,13,3,0
2022-08-07,France,Ligue 1,LEAGUE,2022/2023,Olympique Marseille,Reims,H,4,1,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,16,7,9,56,6,14,1,0,16,6,10,44,7,10,0,0
2022-08-07,France,Ligue 1,LEAGUE,2022/2023,Lens,Brest,H,3,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,16,6,10,62,6,16,2,0,7,5,2,38,3,14,4,0
2022-08-07,France,Ligue 1,LEAGUE,2022/2023,Montpellier,Troyes,H,3,2,D,2,2,N/A,N/A,N/A,N/A,N/A,N/A,16,4,12,53,3,13,1,0,17,10,7,47,6,10,0,0
2022-08-12,France,Ligue 1,LEAGUE,2022/2023,Nantes,Lille,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,9,1,8,30,5,14,1,0,18,1,17,70,11,10,4,0
2022-08-13,France,Ligue 1,LEAGUE,2022/2023,Monaco,Rennes,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,11,3,8,34,1,6,0,1,23,8,15,66,6,11,3,0
2022-08-13,France,Ligue 1,LEAGUE,2022/2023,Paris Saint Germain,Montpellier,H,5,2,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,23,12,11,59,11,15,2,0,6,3,3,41,0,18,1,0
2022-08-14,France,Ligue 1,LEAGUE,2022/2023,Troyes,Toulouse,A,0,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,12,1,11,32,6,14,2,0,12,5,7,68,6,19,1,0
2022-08-14,France,Ligue 1,LEAGUE,2022/2023,Ajaccio,Lens,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,9,2,7,36,1,2,5,0,13,4,9,64,3,3,2,0
2022-08-14,France,Ligue 1,LEAGUE,2022/2023,Nice,Strasbourg,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,12,2,10,54,7,7,1,0,9,5,4,46,3,13,4,0
2022-08-14,France,Ligue 1,LEAGUE,2022/2023,Reims,Clermont,A,2,4,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,10,5,5,41,1,1,3,1,11,6,5,59,6,0,3,0
