DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2022-08-05,Germany,Bundesliga,LEAGUE,2022/2023,Eintracht Frankfurt,FC Bayern München,A,1,6,A,0,5,N/A,N/A,N/A,N/A,N/A,N/A,9,3,6,37,5,10,2,0,23,10,13,63,6,11,0,0
2022-08-06,Germany,Bundesliga,LEAGUE,2022/2023,FC Augsburg,SC Freiburg,A,0,4,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,11,2,9,53,5,13,0,0,23,9,14,47,8,13,0,0
2022-08-06,Germany,Bundesliga,LEAGUE,2022/2023,VfL Wolfsburg,Werder Bremen,D,2,2,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,11,3,8,61,2,11,2,0,11,5,6,39,5,14,2,0
2022-08-06,Germany,Bundesliga,LEAGUE,2022/2023,Borussia Dortmund,Bayer 04 Leverkusen,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,15,4,11,45,3,11,2,0,10,5,5,55,3,13,4,1
2022-08-06,Germany,Bundesliga,LEAGUE,2022/2023,FC Union Berlin,Hertha BSC,H,3,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,5,3,2,48,5,23,2,0,1,1,0,52,4,17,3,0
2022-08-06,Germany,Bundesliga,LEAGUE,2022/2023,Borussia Mönchengladbach,TSG Hoffenheim,H,3,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,7,4,3,62,5,18,1,0,2,1,1,38,1,12,4,1
2022-08-06,Germany,Bundesliga,LEAGUE,2022/2023,VfL Bochum 1848,FSV Mainz 05,A,1,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,14,2,12,60,3,1,2,0,12,6,6,40,5,1,3,0
2022-08-07,Germany,Bundesliga,LEAGUE,2022/2023,VfB Stuttgart,RB Leipzig,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,6,1,5,32,1,14,2,0,20,8,12,68,9,9,1,0
2022-08-07,Germany,Bundesliga,LEAGUE,2022/2023,FC Köln,Schalke 04,H,3,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,26,7,19,75,9,8,0,0,6,2,4,25,1,10,1,1
2022-08-12,Germany,Bundesliga,LEAGUE,2022/2023,SC Freiburg,Borussia Dortmund,A,1,3,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,19,7,12,39,9,16,1,0,13,5,8,61,2,10,3,0
2022-08-13,Germany,Bundesliga,LEAGUE,2022/2023,RB Leipzig,FC Köln,D,2,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,12,8,4,52,2,8,1,1,14,5,9,48,7,18,4,0
