DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2022-08-13,Italy,Serie A,LEAGUE,2022/2023,Milan,Udinese,H,4,2,D,2,2,N/A,N/A,N/A,N/A,N/A,N/A,15,5,10,59,5,16,1,0,9,4,5,41,1,13,4,0
2022-08-13,Italy,Serie A,LEAGUE,2022/2023,Lecce,Inter,A,1,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,10,4,6,30,6,21,4,0,18,9,9,70,8,19,2,0
2022-08-13,Italy,Serie A,LEAGUE,2022/2023,Sampdoria,Atalanta,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,12,2,10,55,3,13,4,0,10,3,7,45,2,21,6,0
2022-08-13,Italy,Serie A,LEAGUE,2022/2023,Monza,Torino,A,1,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,16,4,12,54,2,6,1,0,11,5,6,46,7,17,2,0
2022-08-14,Italy,Serie A,LEAGUE,2022/2023,Spezia,Empoli,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,10,2,8,41,6,15,2,0,18,4,14,59,4,8,1,0
2022-08-14,Italy,Serie A,LEAGUE,2022/2023,Fiorentina,Cremonese,H,3,2,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,28,10,18,75,11,10,0,0,14,4,10,25,4,19,3,1
2022-08-14,Italy,Serie A,LEAGUE,2022/2023,Lazio,Bologna,H,2,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,11,8,3,41,3,11,2,1,10,1,9,59,2,18,6,1
2022-08-14,Italy,Serie A,LEAGUE,2022/2023,Salernitana,Roma,A,0,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,14,2,12,52,4,18,3,0,21,5,16,48,2,9,2,0
2022-08-15,Italy,Serie A,LEAGUE,2022/2023,Juventus,Sassuolo,H,3,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,15,4,11,42,3,7,1,0,19,8,11,58,2,5,3,0
2022-08-15,Italy,Serie A,LEAGUE,2022/2023,Hellas Verona,Napoli,A,2,5,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,5,3,2,34,4,15,2,0,26,8,18,66,8,6,2,0
2022-08-20,Italy,Serie A,LEAGUE,2022/2023,Sassuolo,Lecce,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,12,2,10,59,5,14,5,0,8,1,7,41,4,12,1,0
2022-08-20,Italy,Serie A,LEAGUE,2022/2023,Udinese,Salernitana,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,16,2,14,47,6,9,2,1,16,6,10,53,6,12,4,0
2022-08-20,Italy,Serie A,LEAGUE,2022/2023,Torino,Lazio,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,11,1,10,54,6,11,0,0,7,2,5,46,4,12,5,0
2022-08-20,Italy,Serie A,LEAGUE,2022/2023,Inter,Spezia,H,3,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,21,8,13,55,10,11,0,0,3,1,2,45,4,7,0,0
2022-08-21,Italy,Serie A,LEAGUE,2022/2023,Napoli,Monza,H,4,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,22,6,16,54,10,11,2,0,5,2,3,46,4,13,1,0
2022-08-21,Italy,Serie A,LEAGUE,2022/2023,Empoli,Fiorentina,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,4,2,2,37,1,13,1,1,20,3,17,63,9,11,3,0
2022-08-21,Italy,Serie A,LEAGUE,2022/2023,Atalanta,Milan,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,11,2,9,41,4,15,4,0,19,7,12,59,6,6,3,0
2022-08-21,Italy,Serie A,LEAGUE,2022/2023,Bologna,Hellas Verona,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,18,6,12,53,9,10,3,1,18,4,14,47,8,14,3,0
2022-08-22,Italy,Serie A,LEAGUE,2022/2023,Roma,Cremonese,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,26,11,15,49,5,7,0,0,15,3,12,51,6,14,3,0
2022-08-22,Italy,Serie A,LEAGUE,2022/2023,Sampdoria,Juventus,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,1,9,47,3,8,3,0,11,5,6,53,4,14,2,0
2022-08-26,Italy,Serie A,LEAGUE,2022/2023,Monza,Udinese,A,1,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,8,6,2,56,3,16,3,0,14,4,10,44,5,10,2,0
2022-08-26,Italy,Serie A,LEAGUE,2022/2023,Monza,Udinese,A,1,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,8,6,2,56,3,16,3,0,14,4,10,44,5,10,2,0
2022-08-26,Italy,Serie A,LEAGUE,2022/2023,Monza,Udinese,A,1,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,8,6,2,56,3,16,3,0,14,4,10,44,5,10,2,0
2022-08-26,Italy,Serie A,LEAGUE,2022/2023,Monza,Udinese,A,1,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,8,6,2,56,3,16,3,0,14,4,10,44,5,10,2,0
2022-08-26,Italy,Serie A,LEAGUE,2022/2023,Lazio,Inter,H,3,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,10,6,4,48,2,5,2,0,17,8,9,52,4,12,1,0
2022-08-26,Italy,Serie A,LEAGUE,2022/2023,Lazio,Inter,H,3,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,10,6,4,48,2,5,2,0,17,8,9,52,4,12,1,0
2022-08-26,Italy,Serie A,LEAGUE,2022/2023,Lazio,Inter,H,3,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,10,6,4,48,2,5,2,0,17,8,9,52,4,12,1,0
2022-08-26,Italy,Serie A,LEAGUE,2022/2023,Lazio,Inter,H,3,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,10,6,4,48,2,5,2,0,17,8,9,52,4,12,1,0
2022-08-27,Italy,Serie A,LEAGUE,2022/2023,Spezia,Sassuolo,D,2,2,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,9,2,7,42,2,17,2,1,22,8,14,58,6,10,1,0
2022-08-27,Italy,Serie A,LEAGUE,2022/2023,Spezia,Sassuolo,D,2,2,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,9,2,7,42,2,17,2,1,22,8,14,58,6,10,1,0
2022-08-27,Italy,Serie A,LEAGUE,2022/2023,Spezia,Sassuolo,D,2,2,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,9,2,7,42,2,17,2,1,22,8,14,58,6,10,1,0
2022-08-27,Italy,Serie A,LEAGUE,2022/2023,Spezia,Sassuolo,D,2,2,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,9,2,7,42,2,17,2,1,22,8,14,58,6,10,1,0
2022-08-27,Italy,Serie A,LEAGUE,2022/2023,Juventus,Roma,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,15,4,11,57,4,16,2,0,8,4,4,43,5,7,2,0
2022-08-27,Italy,Serie A,LEAGUE,2022/2023,Cremonese,Torino,A,1,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,16,6,10,53,3,9,0,0,14,5,9,47,3,21,3,0
2022-08-27,Italy,Serie A,LEAGUE,2022/2023,Milan,Bologna,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,20,8,12,48,5,13,2,0,8,0,8,52,1,9,1,0
2022-08-27,Italy,Serie A,LEAGUE,2022/2023,Milan,Bologna,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,20,8,12,48,5,13,2,0,8,0,8,52,1,9,1,0
2022-08-27,Italy,Serie A,LEAGUE,2022/2023,Milan,Bologna,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,20,8,12,48,5,13,2,0,8,0,8,52,1,9,1,0
2022-08-27,Italy,Serie A,LEAGUE,2022/2023,Milan,Bologna,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,20,8,12,48,5,13,2,0,8,0,8,52,1,9,1,0
2022-08-28,Italy,Serie A,LEAGUE,2022/2023,Fiorentina,Napoli,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,5,5,49,2,12,2,0,13,3,10,51,3,14,3,0
2022-08-28,Italy,Serie A,LEAGUE,2022/2023,Lecce,Empoli,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,16,5,11,40,3,10,1,0,10,4,6,60,5,5,2,0
2022-08-28,Italy,Serie A,LEAGUE,2022/2023,Lecce,Empoli,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,16,5,11,40,3,10,1,0,10,4,6,60,5,5,2,0
2022-08-28,Italy,Serie A,LEAGUE,2022/2023,Lecce,Empoli,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,16,5,11,40,3,10,1,0,10,4,6,60,5,5,2,0
2022-08-28,Italy,Serie A,LEAGUE,2022/2023,Lecce,Empoli,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,16,5,11,40,3,10,1,0,10,4,6,60,5,5,2,0
2022-08-28,Italy,Serie A,LEAGUE,2022/2023,Salernitana,Sampdoria,H,4,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,12,7,5,45,6,19,2,0,17,6,11,55,3,14,2,0
2022-08-28,Italy,Serie A,LEAGUE,2022/2023,Salernitana,Sampdoria,H,4,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,12,7,5,45,6,19,2,0,17,6,11,55,3,14,2,0
2022-08-28,Italy,Serie A,LEAGUE,2022/2023,Salernitana,Sampdoria,H,4,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,12,7,5,45,6,19,2,0,17,6,11,55,3,14,2,0
2022-08-28,Italy,Serie A,LEAGUE,2022/2023,Salernitana,Sampdoria,H,4,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,12,7,5,45,6,19,2,0,17,6,11,55,3,14,2,0
2022-08-28,Italy,Serie A,LEAGUE,2022/2023,Hellas Verona,Atalanta,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,14,0,14,49,7,15,3,0,15,7,8,51,6,7,3,0
2022-08-30,Italy,Serie A,LEAGUE,2022/2023,Inter,Cremonese,H,3,1,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,16,6,10,53,6,6,0,0,14,5,9,47,6,14,3,0
2022-08-30,Italy,Serie A,LEAGUE,2022/2023,Inter,Cremonese,H,3,1,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,16,6,10,53,6,6,0,0,14,5,9,47,6,14,3,0
2022-08-30,Italy,Serie A,LEAGUE,2022/2023,Inter,Cremonese,H,3,1,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,16,6,10,53,6,6,0,0,14,5,9,47,6,14,3,0
2022-08-30,Italy,Serie A,LEAGUE,2022/2023,Inter,Cremonese,H,3,1,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,16,6,10,53,6,6,0,0,14,5,9,47,6,14,3,0
2022-08-30,Italy,Serie A,LEAGUE,2022/2023,Roma,Monza,H,3,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,14,6,8,39,5,10,0,0,13,1,12,61,4,7,3,0
2022-08-30,Italy,Serie A,LEAGUE,2022/2023,Roma,Monza,H,3,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,14,6,8,39,5,10,0,0,13,1,12,61,4,7,3,0
2022-08-30,Italy,Serie A,LEAGUE,2022/2023,Roma,Monza,H,3,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,14,6,8,39,5,10,0,0,13,1,12,61,4,7,3,0
2022-08-30,Italy,Serie A,LEAGUE,2022/2023,Roma,Monza,H,3,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,14,6,8,39,5,10,0,0,13,1,12,61,4,7,3,0
2022-08-30,Italy,Serie A,LEAGUE,2022/2023,Sassuolo,Milan,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,7,2,5,38,3,14,5,0,10,2,8,62,8,13,2,0
2022-08-30,Italy,Serie A,LEAGUE,2022/2023,Sassuolo,Milan,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,7,2,5,38,3,14,5,0,10,2,8,62,8,13,2,0
2022-08-30,Italy,Serie A,LEAGUE,2022/2023,Sassuolo,Milan,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,7,2,5,38,3,14,5,0,10,2,8,62,8,13,2,0
